month,number_of_vessels,gross_tonnage
2008-08-01,11201.0,141463.89
2008-09-01,10760.0,134320.78
2008-10-01,10897.0,133279.74
2008-11-01,10741.0,134173.63
2008-12-01,11037.0,139165.37
2009-01-01,10560.0,143000.94
2009-02-01,9889.0,127943.95
2009-03-01,11056.0,152495.16
2009-04-01,10698.0,145084.1
2009-05-01,11187.0,159583.81
2009-06-01,11029.0,143912.07
2009-07-01,11438.0,154009.24
2009-08-01,11261.0,153545.04
2009-09-01,10799.0,150253.54
2009-10-01,11163.0,155931.84
2009-11-01,10502.0,146712.59
2009-12-01,10993.0,152196.93
2010-01-01,10993.0,154239.92
2010-02-01,9981.0,145449.61
2010-03-01,10997.0,158543.48
2010-04-01,10431.0,153625.92
2010-05-01,10706.0,160764.34
2010-06-01,10598.0,160281.3
2010-07-01,10891.0,166138.94
2010-08-01,10645.0,160403.83
2010-09-01,10200.0,160709.78
2010-10-01,10546.0,168713.95
2010-11-01,10307.0,163733.77
2010-12-01,11004.0,166803.18
2011-01-01,10937.0,177800.37
2011-02-01,9488.0,159536.01
2011-03-01,10994.0,181779.73
2011-04-01,10401.0,169981.39
2011-05-01,10680.0,177334.92
2011-06-01,10468.0,170444.01
2011-07-01,11148.0,177243.74
2011-08-01,10827.0,181694.36
2011-09-01,10432.0,171645.38
2011-10-01,11069.0,188048.6
2011-11-01,10519.0,176604.58
2011-12-01,11035.0,188169.26
2012-01-01,10743.0,189814.3
2012-02-01,10120.0,171077.22
2012-03-01,11050.0,191939.61
2012-04-01,10669.0,186794.73
2012-05-01,11218.0,197793.99
2012-06-01,10790.0,186391.09
2012-07-01,11099.0,191730.34
2012-08-01,10825.0,189373.23
2012-09-01,10768.0,182714.03
2012-10-01,10959.0,189815.19
2012-11-01,10906.0,189931.92
2012-12-01,11275.0,186977.77
2013-01-01,11564.0,196666.51
2013-02-01,10363.0,175317.64
2013-03-01,11579.0,186301.9
2013-04-01,11360.0,189406.5
2013-05-01,11803.0,199605.17
2013-06-01,11565.0,189870.97
2013-07-01,11992.0,204455.07
2013-08-01,11921.0,198932.31
2013-09-01,11716.0,195350.07
2013-10-01,11975.0,196541.44
2013-11-01,11667.0,196355.79
2013-12-01,11912.0,197314.67
2014-01-01,11754.0,214747.99
2014-02-01,10679.0,180201.33
2014-03-01,11886.0,203364.36
2014-04-01,11432.0,193719.6
2014-05-01,11589.0,202037.11
2014-06-01,11227.0,189038.9
2014-07-01,11172.0,201324.76
2014-08-01,11091.0,199676.13
2014-09-01,10818.0,196684.14
2014-10-01,11281.0,195483.67
2014-11-01,10766.0,202040.57
2014-12-01,11188.0,192788.59
2015-01-01,11319.0,208715.82
2015-02-01,10240.0,189636.44
2015-03-01,11126.0,200481.36
2015-04-01,10762.0,205746.9
2015-05-01,11021.0,208615.37
2015-06-01,10960.0,202295.28
2015-07-01,11295.0,210948.97
2015-08-01,11536.0,225302.06
2015-09-01,11045.0,208557.53
2015-10-01,11144.0,210769.97
2015-11-01,11046.0,209418.93
2015-12-01,11428.0,223665.96
2016-01-01,11657.0,228884.75
2016-02-01,10621.0,204270.93
2016-03-01,11789.0,227512.94
2016-04-01,11530.0,225144.97
2016-05-01,11708.0,230315.97
2016-06-01,11454.0,222676.08
2016-07-01,11322.0,222866.89
2016-08-01,11708.0,227741.48
2016-09-01,11437.0,212086.81
2016-10-01,11928.0,220083.18
2016-11-01,11713.0,221311.82
2016-12-01,12131.0,219798.9
2017-01-01,11925.0,235318.82
2017-02-01,10666.0,207820.11
2017-03-01,12318.0,234466.89
2017-04-01,12260.0,229464.86
2017-05-01,12655.0,243798.14
2017-06-01,12275.0,235488.3
2017-07-01,11811.0,232044.65
2017-08-01,11916.0,234389.54
2017-09-01,11619.0,231419.21
2017-10-01,12549.0,234494.21
2017-11-01,12347.0,236194.06
2017-12-01,12806.0,244686.18
2018-01-01,12642.0,249644.26
2018-02-01,11130.0,224247.6
2018-03-01,12546.0,238689.49
2018-04-01,12133.0,241008.68
2018-05-01,12225.0,236607.12
2018-06-01,11192.0,226588.07
2018-07-01,11605.0,226025.24
2018-08-01,11389.0,222035.0
2018-09-01,11367.0,230532.88
2018-10-01,11629.0,233085.15
2018-11-01,11187.0,228495.25
2018-12-01,11723.0,235007.18
2019-01-01,11678.0,248250.1
2019-02-01,10275.0,214560.33
2019-03-01,11509.0,229405.25
2019-04-01,11243.0,226031.66
2019-05-01,11697.0,235453.733
2019-06-01,11138.0,227456.841
2019-07-01,11554.0,238850.886
2019-08-01,11739.0,236773.688
2019-09-01,11547.0,244462.0
2019-10-01,12026.0,250282.199
2019-11-01,11743.0,244544.159
2019-12-01,12148.0,258663.574
2020-01-01,12134.0,263882.762
2020-02-01,10879.0,234656.389
2020-03-01,9827.0,251387.543
2020-04-01,7015.0,230354.325
2020-05-01,6582.0,223323.102
2020-06-01,6701.0,227328.174
2020-07-01,7178.0,252004.768
2020-08-01,6958.0,244006.651
2020-09-01,7255.0,240460.26
2020-10-01,7502.0,243803.205
2020-11-01,7347.0,246267.647
2020-12-01,7479.0,245140.174
2021-01-01,7641.0,255333.359
2021-02-01,6990.0,236520.866
2021-03-01,7788.0,245081.705
2021-04-01,7500.0,239954.803
2021-05-01,7211.0,238117.002
2021-06-01,7247.0,231443.515
2021-07-01,7246.0,229192.217
2021-08-01,7178.0,226134.52
2021-09-01,6918.0,221138.038
2021-10-01,7098.0,230041.876
2021-11-01,7130.0,230994.76
2021-12-01,7286.0,229814.751
2022-01-01,7213.0,234263.478
2022-02-01,6440.0,207371.796
2022-03-01,7307.0,223085.294
2022-04-01,7608.0,225608.612
2022-05-01,7815.0,239397.63
2022-06-01,8301.0,230600.137
2022-07-01,9044.0,246795.372
2022-08-01,9129.0,244949.856
2022-09-01,8976.0,231414.268
2022-10-01,9451.0,251201.124
2022-11-01,9442.0,248477.975
2022-12-01,10081.0,245198.258
2023-01-01,10035.0,257447.53
2023-02-01,9202.0,226665.742
2023-03-01,10270.0,254529.627
2023-04-01,9987.0,259312.178
2023-05-01,10324.0,266695.5
2023-06-01,9845.0,250042.75
2023-07-01,10196.0,260278.92
2023-08-01,10070.0,263675.55
2013-09-01,11090.421803509355,264736.625
2013-10-01,10982.238969094808,264736.625
2013-11-01,10998.687946187754,264736.625
2013-12-01,10855.306755399804,264736.625
2014-01-01,10762.520377093862,264736.625
2014-02-01,10854.839848836478,264736.625
2014-03-01,10940.500580422664,264736.625
2014-04-01,10913.100139809461,264736.625
2014-05-01,10837.443646621872,264736.625
2014-06-01,10851.665373819758,264736.625
2014-07-01,10674.876123262873,264736.625
2014-08-01,10673.7455230682,264736.625
2014-09-01,10738.670434522794,264736.625
2014-10-01,10861.547496058633,264736.625
2014-11-01,10675.812947165416,264736.625
2014-12-01,10712.506537735104,264736.625
2015-01-01,10869.507753170215,264736.625
2015-02-01,10939.911249853138,264736.625
2015-03-01,10626.543438138942,264736.625
2015-04-01,10602.469586049345,264736.625
2015-05-01,10564.212878061508,264736.625
2015-06-01,10845.938536317874,264736.625
2015-07-01,11010.408641402055,264736.625
2015-08-01,11197.189983380438,264736.625
2015-09-01,10916.521757980852,264736.625
2015-10-01,10557.624966052814,264736.625
2015-11-01,10683.0855581768,264736.625
2015-12-01,10604.028815446194,264736.625
2016-01-01,10792.804364070189,264736.625
2016-02-01,10892.058084974313,264736.625
2016-03-01,10892.596037626268,264736.625
2016-04-01,11008.93899649917,264736.625
2016-05-01,10891.933956193292,264736.625
2016-06-01,10959.881211542912,264736.625
2016-07-01,10642.559159799872,264736.625
2016-08-01,10929.70212884588,264736.625
2016-09-01,10821.821159121571,264736.625
2016-10-01,10829.623908098984,264736.625
2016-11-01,10803.636004772725,264736.625
2016-12-01,10739.900198827905,264736.625
2017-01-01,10460.275628706095,264736.625
2017-02-01,10319.839832921623,264736.625
2017-03-01,10885.33536611308,264736.625
2017-04-01,11279.168142936842,264736.625
2017-05-01,11422.448797752802,264736.625
2017-06-01,11317.841486331648,264736.625
2017-07-01,10639.441493005497,264736.625
2017-08-01,10623.074993279928,264736.625
2017-09-01,10458.943841207163,264736.625
2017-10-01,10958.557942608026,264736.625
2017-11-01,10982.128237417857,264736.625
2017-12-01,11063.714069399719,264736.625
2018-01-01,10920.632464403225,264736.625
2018-02-01,10567.142571913193,264736.625
2018-03-01,11086.214401976173,264736.625
2018-04-01,11247.958198287948,264736.625
2018-05-01,11250.915088850761,264736.625
2018-06-01,10552.195236077123,264736.625
2018-07-01,10835.87479695927,264736.625
2018-08-01,10644.922632002426,264736.625
2018-09-01,10818.332839477913,264736.625
2018-10-01,10727.588325568127,264736.625
2018-11-01,10516.052399726506,264736.625
2018-12-01,10685.203869472582,264736.625
2019-01-01,10649.532572917182,264736.625
2019-02-01,10315.084152336642,264736.625
2019-03-01,10648.790866458403,264736.625
2019-04-01,10872.644095118128,264736.625
2019-05-01,11166.309333847454,264736.625
2019-06-01,10799.38279342889,264736.625
2019-07-01,10950.915093556765,264736.625
2019-08-01,11157.3346294577,264736.625
2019-09-01,11157.890568854902,264736.625
2019-10-01,11437.236127795948,264736.625
2019-11-01,11589.489861859214,264736.625
2019-12-01,11941.20966365669,264736.625
2020-01-01,12312.069204252897,264736.625
2020-02-01,12478.861261391474,264736.625
2020-03-01,11007.022199218842,264736.625
2020-04-01,9111.404539107876,264736.625
2020-05-01,8965.739796446831,264736.625
2020-06-01,9648.675755393333,264736.625
2020-07-01,10160.10067689462,264736.625
2020-08-01,10233.302544781494,264736.625
2020-09-01,10747.457276872274,264736.625
2020-10-01,10720.69124987027,264736.625
2020-11-01,10735.278010833881,264736.625
2020-12-01,10477.593913175555,264736.625
2021-01-01,10643.695826607434,264736.625
2021-02-01,10970.320067360824,264736.625
2021-03-01,11041.902490557666,264736.625
2021-04-01,11309.093924078821,264736.625
2021-05-01,10977.686303035185,264736.625
2021-06-01,11206.538199897117,264736.625
2021-07-01,10897.414610658516,264736.625
2021-08-01,10923.405938394535,264736.625
2021-09-01,10646.084239604885,264736.625
2021-10-01,10453.214405705912,264736.625
2021-11-01,10550.911125523164,264736.625
2021-12-01,10265.61611276291,264736.625
2022-01-01,10124.255649451527,264736.625
2022-02-01,10152.578134870444,264736.625
2022-03-01,10214.088490095477,264736.625
2022-04-01,10883.97011354328,264736.625
2022-05-01,10858.777079374608,264736.625
2022-06-01,11252.7005472697,264736.625
2022-07-01,11387.913469998217,264736.625
